Exp,class,profile,Wood,noWood,hp,hpue,h,htop,v,Froude,Res,Res_rel,Yres,Yres_rel,Zres,angle_res,Resy,Resy_rel,Yy,Yy_rel,Zy,angle_y,Resz,Resz_rel,Yz,Yz_rel,Zz,Zz_rel,angle_z,Reszm,Reszm_rel,Yzm,Yzm_rel,Zzm,Zzm_rel,angle_zm,Ftop,Ftop_rel,t_res,t_y,t_z,t_zm,t_ftop,t_start,t_trans,year,Yy/h,Ftop/hpue,t_spanZ,t_spanZ_ext,integral_y,integral_z_pos,integral_z_neg,integral_z_cl
1,1_0,1,0,0,20,6,108.1966216106462,7.196621610646204,1.147945205479452,1.114242718417693,35.37810097450303,0.4705671298634302,23.06685795870637,0.3666991569441811,-26.82405809110541,-49.30671847502862,29.99927621347189,0.4298615891139836,29.99927602595517,0.4429840512436002,0.0033542111211491,0.0064062259326047,34.2070182024499,0.6096689217148044,16.71291172525389,0.5386497304469126,-29.84625061823696,0.678806889030261,-60.75261845654712,9.259575571675471,0.2006981127713611,8.896193529214997,0.1968834758317131,2.568556103791068,0.3160869011962705,16.1047666366938,-22.55525245952666,0.7740809999258399,4.73,4.37,4.786666666666667,4.3075,6.5,4.287916666666667,4.41375,2023,0.277266291492075,3.759208743254443,0.1258333333333334,0.4791666666666669,13.150950594928505,-0.012327989184358228,-58.2439774366425,-59.129315226588
2,1_0,1,0,0,20,6,113.6073024373697,12.607302437369697,0.7909952972014493,0.7492664280496413,85.3204486881769,1.1348545442501516,26.82609004921375,0.4264605358374111,-80.99345564317713,-71.67445522550787,68.55284461261472,0.9822981899219668,62.44037997360019,0.9220253334768428,-28.2964918891676,-24.3789006946619,85.3093729621355,1.5204620618544955,26.78508521497808,0.8632714136367132,-80.99535989931212,1.8421144076818765,-71.7010004858513,19.19419517459509,0.4160275725261302,19.02894591225893,0.4211334881953493,2.513234145234735,0.3092789726396895,7.523752781667146,-52.95382951204016,1.817339591837258,4.573333333333333,4.133333333333334,4.57375,3.8941666666666666,6.5,3.8766666666666665,3.9375,2023,0.5496159017420803,8.825638252006692,0.0608333333333335,0.6795833333333339,33.531863787860175,-0.0007968351893150146,-172.08395937895548,-174.48850913799222
3,1_0,1,0,0,20,6,108.9776342032436,7.977634203243596,1.315638075313807,1.27242807319487,45.79715355053732,0.6091518342864892,34.12266288405026,0.5424558357567252,-30.54542766164769,-41.83380465902221,45.7928789021044,0.6561691540452224,34.1319615076813,0.5040093158408767,-30.52862528482014,-41.81038095094999,41.2500078117918,0.7351955564937608,16.76060869238312,0.5401869825373711,-37.69144651951813,0.8572337571718714,-66.02627200927745,28.32253456260681,0.6138811861965606,27.75749806873064,0.6143068585701041,5.629144252412794,0.6927233399752475,11.46395556816356,-27.9465842401085,0.9591078579995148,4.47625,4.476666666666667,4.6575,4.142083333333333,6.5,4.055416666666667,4.153333333333333,2023,0.3132015276090972,4.657764040018083,0.0979166666666664,0.5154166666666669,16.378416767683714,0.08879856604099139,-79.12019599771682,-80.49221859943239
4,1_0,1,0,0,20,6,119.0997413943248,18.099741394324795,1.260264688262098,1.165928329595814,90.31111725105367,1.2012358512463948,29.17534012145401,0.4638071056426154,-85.46869267709107,-71.15229969198766,49.44317200589873,0.7084744424516205,49.31944802137167,0.7282752047317035,-3.49561223137029,-4.054170613042432,89.7166369884555,1.5990123725169585,21.59655687345253,0.6960474470100094,-87.07849151041853,1.98046584409224,-76.07098181413214,34.23369954250533,0.742003652130615,34.12762569654979,0.7552854540489424,2.692832836015603,0.3313804145914708,4.51156349177078,-67.0012132349305,2.299436294504142,4.642083333333333,4.095,4.717083333333333,4.02125,6.5,3.9675,4.029166666666667,2023,0.4141020580227875,11.166868872488417,0.0616666666666669,0.6958333333333329,29.574414500991992,0.04137185515960747,-197.5698268914122,-197.78296424107467
5,1_0,1,0,0,20,6,108.34374716731,7.343747167309999,1.086271868343923,1.053663905140727,73.09506737943498,0.972243707730498,25.78828442347465,0.4099623006329577,-68.39483358922745,-69.34103971010707,55.48487448363292,0.7950463920397384,46.57037200991354,0.6876809974688785,-30.16242276944544,-32.93008396194606,73.09506737943498,1.3027674802914988,25.78828442347465,0.8311449663437933,-68.39483358922745,1.5555348914103686,-69.34103971010707,26.44036458448332,0.5730857998853556,26.3323961242336,0.5827676363931481,2.387005177381631,0.2937452168338491,5.179648169307502,-50.30233387889827,1.7263420561331269,4.243333333333333,3.816666666666667,4.243333333333333,3.58375,6.5,3.535,3.595,2023,0.4298390375772878,8.383722313149711,0.06,0.659583333333333,23.913677312953325,0.06106831589367999,-170.07629288177242,-171.1300455650415
6,1_10,1,10,1,20,6,119.9812138264384,18.98121382643841,0.9856736916883732,0.9085357807624,69.11030270160835,0.9192420138584204,53.58061936162097,0.8517834541499631,-43.65032838745915,-39.16854584137793,54.04942410706733,0.7744777297968923,54.03361360047607,0.797886890182313,1.307228970027061,1.385879832032721,61.25628427546943,1.0917658055271902,26.14022382585401,0.842487817149308,-55.39874602887125,1.2599589452303868,-64.73944307804055,27.32147200782469,0.5921834999521257,25.97711561959244,0.5749048509873129,8.46476796850773,1.0416756217868846,18.04844828379276,-31.84466751553127,1.09288743794649,4.657916666666667,4.329166666666667,4.908333333333333,4.275,6.5,4.2,4.3775,2023,0.4503506163776576,5.307444585921878,0.1775000000000002,0.6333333333333329,31.46994822504897,0.43418976954590416,-96.59826590969062,-97.24857378507281
7,1_10,1,10,1,20,6,120.4082726574069,19.408272657406897,1.137784346228356,1.046880927250466,87.257780691993,1.160623161997196,45.68861456576879,0.7263224351234806,-74.34023668480326,-58.42561675097243,58.95852555034293,0.8448205651543849,58.9331333987808,0.8702356071154626,1.730180011428425,1.681626962539354,86.86762375260922,1.5482346397964488,44.35000849755264,1.4293810985926276,-74.69311081145226,1.6987794825703797,-59.29972508196919,26.49587335815508,0.5742889334449814,25.15438730242911,0.5566968825774142,8.323947648248712,1.024346251955156,18.31012049579109,-52.5333627786228,1.8029094581013003,4.555,4.049166666666666,4.558333333333334,4.019583333333333,6.5,3.945,4.060416666666667,2023,0.4894442225449161,8.7555604631038,0.1154166666666669,0.5387500000000003,39.54325972229989,0.1395217479932204,-161.83520448277284,-162.42428440893227
8,1_10,1,10,1,20,6,117.5194146461101,16.519414646110107,1.154605263157895,1.075336084302193,104.5009879303125,1.3899765279572331,68.34957911577355,1.0865690110075743,-79.04929799250553,-49.15183174681309,84.18432142214172,1.206282642537666,79.0947382190538,1.1679517711698804,-28.82745842709378,-20.02515239940481,99.17692181542412,1.7676222646577415,36.76412264652235,1.184891362989932,-92.11113454308448,2.0949255396935493,-68.24167958656545,42.01837735978115,0.9107338638305488,41.16187064560523,0.9109617655942818,8.44064220918239,1.0387067022087222,11.58841061369081,-65.61173319342726,2.251750279823799,4.397916666666666,4.145416666666667,4.627916666666667,3.925833333333333,6.5,3.89,3.9391666666666665,2023,0.6730355018975738,10.93528886557121,0.0491666666666663,0.7020833333333338,47.06133762170161,0.14304300952852586,-204.05979728179412,-204.82518377177965
9,1_10,1,10,1,20,6,124.1906778367684,23.1906778367684,1.196660482374768,1.084156422802685,89.67624436821743,1.192791353037752,53.70561665292705,0.8537705648966587,-71.81598390272943,-53.21002913532837,71.2969188047663,1.021618208328119,71.18606820662811,1.051168463498656,3.974207384464203,3.19541710077491,85.8371111764084,1.5298678974096218,36.95747405061334,1.1911229929660403,-77.47357463619022,1.762016839351747,-64.49730423460151,69.79296396261346,1.5127384666381192,69.65904107944608,1.5416384643371877,4.321552334370546,0.5318108814958583,3.550002628463136,-49.29484948845992,1.691765873678082,4.53625,4.17125,4.724166666666667,4.175416666666667,6.5,4.0408333333333335,4.1875,2023,0.5731997718878097,8.215808248076653,0.1466666666666665,0.5487500000000001,45.24533843011018,0.3251986730691636,-153.4600976821484,-152.89276757292674
10,1_10,1,10,1,20,6,126.5494850198506,25.5494850198506,1.143973467811549,1.026718192047889,97.51608055826762,1.297069680956205,47.4549293156649,0.7544019477664458,-85.19046690265165,-60.88022243567744,81.31249093267242,1.1651319957992328,72.15990955154157,1.0655486833367962,-37.4789092049018,-27.44677194396062,96.53446648042863,1.7205259967155433,43.67732268985691,1.4077007334385858,-86.08829596006132,1.9579453751171887,-63.09881572631438,49.74116659118214,1.0781226617376989,49.58772003140704,1.0974359591314753,3.904058905616946,0.4804340772400515,4.501631430900275,-59.93929756859875,2.057076128055322,4.565833333333333,4.222083333333333,4.6125,4.03,6.5,3.943333333333333,4.0575,2023,0.5702110090785636,9.98988292809979,0.1141666666666672,0.5824999999999996,48.29469281492395,0.08092323389465998,-184.17992063934287,-183.6184113743279
