d mm;Stoob;0-2 mm;2-4 mm;4-8mm;8-10 mm;>10 mm;...;;Mischung;Summenlinie
0,0002;0,097;0;0;0;0;0;;;0;0
0,00063;0,073;0;0;0;0;0;;;0;0
0,002;0,091;0;0;0;0;0;;;0;0
0,0063;0,175;0;0;0;0;0;;;0;0
0,02;0,157;0;0;0;0;0;;;0;0
0,063;0,268;0,0233;0;0;0;0;;;0,005825;0,005825
0,1;0;0,012181617;0;0;0;0;;;0,003045404;0,008870404
0,125;0;0,00110742;0;0;0;0;;;0,000276855;0,009147259
0,18;0;0,131782946;0;0;0;0;;;0,032945736;0,042092996
0,2;0,131;0;0;0;0;0;;;0;0,042092996
0,25;0;0,060908084;0;0;0;0;;;0,015227021;0,057320017
0,355;0;0,029900332;0;0;0;0;;;0,007475083;0,0647951
0,4;0;0,044296788;0;0;0;0;;;0,011074197;0,075869297
0,5;0;0,074197121;0;0;0;0;;;0,01854928;0,094418577
0,63;0,003;0;0;0;0;0;;;0;0,094418577
0,71;0;0,096345515;0,005756579;0;0;0;;;0,025525523;0,1199441
1;0;0,159468439;0;0;0;0;;;0,03986711;0,15981121
1,4;0;0,222591362;0,004111842;0;0;0;;;0,056675801;0,216487011
2;0,001;0,143964563;0,665296053;0,0192;0;0;;;0,207115154;0,423602165
4;0;0;0,324835526;0,296114117;0,004009623;0;;;0,155838854;0,579441019
6,3;0,005;0;0;0,513;0,0393;0;;;0,134145;0,713586019
8;0;0;0;0,1672;0,3561;0;;;0,095215;0,808801019
10;0;0;0;0,0044;0,6006;0,0202;;;0,09321;0,902011019
16;0;0;0;0;0;0,6076;;;0,06076;0,962771019
22,4;0;0;0;0;0;0,3721;;;0,03721;0,999981019
