d mm;Stoob;0-2 mm;2-4 mm;4-8mm;8-10 mm;>10 mm;...;;Mischung;Summenlinie
0,0002;0,097;0;0;0;0;0;;;0,015;0,015
0,00063;0,073;0;0;0;0;0;;;0,011;0,026
0,002;0,091;0;0;0;0;0;;;0,014;0,039
0,0063;0,175;0;0;0;0;0;;;0,026;0,065
0,02;0,157;0;0;0;0;0;;;0,024;0,089
0,063;0,268;0,023;0;0;0;0;;;0,043;0,131
0,1;0;0,012;0;0;0;0;;;0,001;0,133
0,125;0;0,001;0;0;0;0;;;0;0,133
0,18;0;0,132;0;0;0;0;;;0,013;0,146
0,2;0,131;0;0;0;0;0;;;0,02;0,166
0,25;0;0,061;0;0;0;0;;;0,006;0,172
0,355;0;0,03;0;0;0;0;;;0,003;0,175
0,4;0;0,044;0;0;0;0;;;0,004;0,179
0,5;0;0,074;0;0;0;0;;;0,007;0,187
0,63;0,003;0;0;0;0;0;;;0;0,187
0,71;0;0,096;0,006;0;0;0;;;0,01;0,197
1;0;0,159;0;0;0;0;;;0,016;0,213
1,4;0;0,223;0,004;0;0;0;;;0,023;0,236
2;0,001;0,144;0,665;0,019;0;0;;;0,084;0,32
4;0;0;0,325;0,296;0,004;0;;;0,078;0,398
6,3;0,005;0;0;0,513;0,039;0;;;0,089;0,487
8;0;0;0;0,167;0,356;0;;;0,132;0,619
10;0;0;0;0,004;0,601;0,02;;;0,185;0,804
16;0;0;0;0;0;0,608;;;0,122;0,926
22,4;0;0;0;0;0;0,372;;;0,074;1
