d mm;Stoob;0-2 mm;2-4 mm;4-8mm;8-10 mm;>10 mm;...;;Mischung;Summenlinie
0,0002;0,097;0;0;0;0;0;;;0,01455;0,01455
0,00063;0,073;0;0;0;0;0;;;0,01095;0,0255
0,002;0,091;0;0;0;0;0;;;0,01365;0,03915
0,0063;0,175;0;0;0;0;0;;;0,02625;0,0654
0,02;0,157;0;0;0;0;0;;;0,02355;0,08895
0,063;0,268;0,0233;0;0;0;0;;;0,04486;0,13381
0,1;0;0,012181617;0;0;0;0;;;0,002436323;0,136246323
0,125;0;0,00110742;0;0;0;0;;;0,000221484;0,136467807
0,18;0;0,131782946;0;0;0;0;;;0,026356589;0,162824396
0,2;0,131;0;0;0;0;0;;;0,01965;0,182474396
0,25;0;0,060908084;0;0;0;0;;;0,012181617;0,194656013
0,355;0;0,029900332;0;0;0;0;;;0,005980066;0,20063608
0,4;0;0,044296788;0;0;0;0;;;0,008859358;0,209495437
0,5;0;0,074197121;0;0;0;0;;;0,014839424;0,224334862
0,63;0,003;0;0;0;0;0;;;0,00045;0,224784862
0,71;0;0,096345515;0,005756579;0;0;0;;;0,020420419;0,24520528
1;0;0,159468439;0;0;0;0;;;0,031893688;0,277098968
1,4;0;0,222591362;0,004111842;0;0;0;;;0,045340641;0,322439609
2;0,001;0,143964563;0,665296053;0,0192;0;0;;;0,165842123;0,488281732
4;0;0;0,324835526;0,296114117;0,004009623;0;;;0,124791372;0,613073104
6,3;0,005;0;0;0,513;0,0393;0;;;0,109245;0,722318104
8;0;0;0;0,1672;0,3561;0;;;0,086855;0,809173104
10;0;0;0;0,0044;0,6006;0,0202;;;0,09299;0,902163104
16;0;0;0;0;0;0,6076;;;0,06076;0,962923104
22,4;0;0;0;0;0;0,3721;;;0,03721;1,000133104
